name,description,initials,teachers
Taller de Investigación Aplicada Xlab I,Taller de Investigación Aplicada Xlab I,IEU3100,['Pablo Guzman']
Taller de Investigación Aplicada Xlab II,Taller de Investigación Aplicada Xlab II,IEU3101,['Pablo Guzman']
Ordenación y Planificación Territorial,Ordenación y Planificación Territorial,IEU3105,['Arturo Orellana']
Teoría y Ética de la Planificación Urbana,Teoría y Ética de la Planificación Urbana,IEU3200,['Giovanni Vecchio']
Métodos de Análisis Urbano,Métodos de Análisis Urbano,IEU3201,['Ricardo Truffello']
Economía y Desarrollo Urbano,Economía y Desarrollo Urbano,IEU3202,['Slaven Razmilic;Clemente Larraín']
Teoria y Evolucion de la Ciudad y el Territorio,Teoria y Evolucion de la Ciudad y el Territorio,IEU4001,['Luis Fuentes']
Introducción a la Ingeniería Física,Introducción a la Ingeniería Física,IFI1001,['Sergio Rica']
Introducción a la Historia,Introducción a la Historia,IHI0101,['Claudio Rolle']
Teoría de la Historia,Teoría de la Historia,IHI0102,['Manuel Gárate']
Historia de la Historiografía,Historia de la Historiografía,IHI0103,['Alfredo Riquelme']
Historia Antigua,Historia Antigua,IHI0201,['Maria Cot;Patricio Arriagada']
Historia Medieval,Historia Medieval,IHI0202,['Maria Illanes']
Historia Moderna,Historia Moderna,IHI0203,['Rafael Gaune']
Historia Contemporánea S. XIX,Historia Contemporánea S. XIX,IHI0204,['Rosario Rodriguez']
Historia Mundial Contemporánea,Historia Mundial Contemporánea,IHI0205,['Maria Montt']
Chile y América Indígena,Chile y América Indígena,IHI0211,['Gloria Cabello']
Historia de Chile Colonial,Historia de Chile Colonial,IHI0212,['Jaime Valenzuela']
Historia de Chile S. XIX,Historia de Chile S. XIX,IHI0213,['Macarena Ponce de León']
Historia de Chile Contemporáneo,Historia de Chile Contemporáneo,IHI0214,['Nancy Nicholls']
Imperios y Encuentros del Mundo Atlántico: Siglos Xv y XVI,Imperios y Encuentros del Mundo Atlántico: Siglos Xv y XVI,IHI0221,['Olaya Sanfuentes']
Historia de América S. XIX,Historia de América S. XIX,IHI0223,['Andrea Larroucau']
Historia de América Contemporánea,Historia de América Contemporánea,IHI0224,['Pablo Whipple']
Monografía de Licenciatura,Monografía de Licenciatura,IHI0311,['Maria Undurraga']
Educación Histórica: Teorías y Prácticas,Educación Histórica: Teorías y Prácticas,IHI0401,['Jimena Bustos']
"Historia Pública: Audiencias, Formatos y Trabajo Colaborativo","Historia Pública: Audiencias, Formatos y Trabajo Colaborativo",IHI0441,['Luis Mayorga']
Estrategias de Comunicación Digital para la Historia Pública,Estrategias de Comunicación Digital para la Historia Pública,IHI0491,['Marco Jaramillo']
Rock Chileno y Mundo Contemporáneo. 1950-2000.,Rock Chileno y Mundo Contemporáneo. 1950-2000.,IHI0508,['César Albornoz']
Historia de África,Historia de África,IHI0514,['Juan Radic']
"Ser Ciudadanos/As Ayer y Hoy: Estado, Democracia y Constitución en Chile y el Mundo","Ser Ciudadanos/As Ayer y Hoy: Estado, Democracia y Constitución en Chile y el Mundo",IHI0516,['Luis Mayorga']
Los Griegos y Nosotros,Los Griegos y Nosotros,IHI0518,['Maria Gazmuri']
Músicas Latinoamericanas,Músicas Latinoamericanas,IHI0519,['Juan González']
"Antropología Americana: Habitar, Reivindicar y Reconocer","Antropología Americana: Habitar, Reivindicar y Reconocer",IHI0523,['Francisca De la Maza']
"Entendiendo a Rusia: Historia, Cultura y Presente del Gigante Eurasiático","Entendiendo a Rusia: Historia, Cultura y Presente del Gigante Eurasiático",IHI0534,['Diego Repenning']
"Políticas Económicas Chile y América Latina, 1910-2010","Políticas Económicas Chile y América Latina, 1910-2010",IHI0536,['Gilberto Bernedo']
Historia de Europa Siglo XX,Historia de Europa Siglo XX,IHI2300,['Jimena Bustos']
Archivos e Historia,Archivos e Historia,IHI2307,['Rodrigo Sandoval;Maria Vial']
Historia de Género en Chile,Historia de Género en Chile,IHI2323,['Brandi Townsend']
"Género y Sexualidad en Revoluciones y Dictaduras Latinoamericanas, 1959-Presente","Género y Sexualidad en Revoluciones y Dictaduras Latinoamericanas, 1959-Presente",IHI2325,['Brandi Townsend']
El Ambiente Como Problema Histórico en Chile,El Ambiente Como Problema Histórico en Chile,IHI2327,['Pablo Camus']
Metodología de la Investigación,Metodología de la Investigación,IHI3010,['Rodrigo Henriquez']
Historia de la Historiografía,Historia de la Historiografía,IHI3011,['Maria Gazmuri']
Tesis I,Tesis I,IHI3013,['Pablo Camus']
Tesis II,Tesis II,IHI3014,['Gilberto Bernedo']
Seminario I Parte a,Seminario I Parte a,IHI301A,['Catalina Balmaceda']
Seminario I Parte B,Seminario I Parte B,IHI301B,['Eugenia Montalva']
Lecturas Avanzadas de Historia,Lecturas Avanzadas de Historia,IHI4801,['Maria Illanes']
Lecturas Avanzadas de Historia III,Lecturas Avanzadas de Historia III,IHI4803,['Maria Illanes']
Teoria y Metodo de la Historia I,Teoria y Metodo de la Historia I,IHI4921,['Patricio Arriagada']
Teoria y Metodo de la Historia III,Teoria y Metodo de la Historia III,IHI4923,['Manuel Gárate']
Seminario de Tesis I,Seminario de Tesis I,IHI4931,['Por Fijar']
Seminario de Tesis III,Seminario de Tesis III,IHI4933,['Claudio Rolle']
Tesis Doctoral I,Tesis Doctoral I,IHI4958,['Pablo Whipple']
Tesis Doctoral III,Tesis Doctoral III,IHI4960,['Olaya Sanfuentes']
Pasantía,Pasantía,IHI4964,['Rafael Gaune']
Artículo,Artículo,IHI4965,['Rafael Gaune']
Investigacion o Proyecto,Investigacion o Proyecto,IIC0020,['Dirección Docente']
Algoritmos y Sistemas Computacionales,Algoritmos y Sistemas Computacionales,IIC1001,['Cristian Ruz']
Computación: Ciencia y Tecnología del Mundo Digital,Computación: Ciencia y Tecnología del Mundo Digital,IIC1005,['Jorge Munoz']
En Búsqueda del Bienestar: ¿Qué Nos Dice la Ciencia?,En Búsqueda del Bienestar: ¿Qué Nos Dice la Ciencia?,IIC100G,['Jorge Baier;Ximena Hidalgo']
Introduccion a  las Aplicaciones Computacionales,Introduccion a  las Aplicaciones Computacionales,IIC1062,['Hugo Spencer']
Introducción a la Programación,Introducción a la Programación,IIC1103,['Luciano Hidalgo']
Matemáticas Discretas,Matemáticas Discretas,IIC1253,['Cristian Riveros']
Visualización de Información,Visualización de Información,IIC2026,['Hernán Valdivieso']
Diseño Detallado de Software,Diseño Detallado de Software,IIC2113,['Rodrigo Toro']
Programación Como Herramienta para la Ingeniería,Programación Como Herramienta para la Ingeniería,IIC2115,['Felipe Gutiérrez']
Estructuras de Datos y Algoritmos,Estructuras de Datos y Algoritmos,IIC2133,['Sebastián Bugedo']
Ingeniería de Software,Ingeniería de Software,IIC2143,['Alison Fernandez']
Proyecto de Especialidad,Proyecto de Especialidad,IIC2154,['Hugo Neyem;Luis Gonzalez']
Arquitectura de Sistemas de Software,Arquitectura de Sistemas de Software,IIC2173,['Hans Findel']
Lógica para Ciencias de la Computación,Lógica para Ciencias de la Computación,IIC2213,['Sebastián Bugedo']
Programación Avanzada,Programación Avanzada,IIC2233,['Hernán Valdivieso']
Sistemas Operativos y Redes,Sistemas Operativos y Redes,IIC2333,['Lesly Reyes']
Arquitectura de Computadores,Arquitectura de Computadores,IIC2343,['Yadran Eterovic']
Bases de Datos,Bases de Datos,IIC2413,['Vicente Calisto']
Minería de Datos,Minería de Datos,IIC2433,['Marcelo Mendoza']
Procesamiento de Datos Masivos,Procesamiento de Datos Masivos,IIC2440,['Juan Reutter;Adrian Soto']
Tecnologías y Aplicaciones Web,Tecnologías y Aplicaciones Web,IIC2513,['Antonio Ossa']
Taller de Programacion Avanzada,Taller de Programacion Avanzada,IIC2552,['Martín Muñoz']
Inteligencia Artificial,Inteligencia Artificial,IIC2613,['Jorge Baier;Hans Lobel']
Robótica Móvil,Robótica Móvil,IIC2685,['Gabriel Sepulveda']
Sistemas de Información,Sistemas de Información,IIC2713,['Hernán Cabrera']
Fundamentos de Procesamiento de Imágenes,Fundamentos de Procesamiento de Imágenes,IIC2714,['Claudia Prieto']
Modelos de Procesos,Modelos de Procesos,IIC2733,['Marcos Sepúlveda']
"Conocimiento, Cultura y Tecnología","Conocimiento, Cultura y Tecnología",IIC2764,['Miguel Nussbaum']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IIC2972,['Dirección Docente']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IIC2981,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIC2985,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIC2986,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIC2987,['Dirección Docente']
Taller de Integración,Taller de Integración,IIC3103,['Arturo Tagle;Daniel Darritchon']
Gestión de Proyectos de Tecnologías de Información,Gestión de Proyectos de Tecnologías de Información,IIC3113,['Mario Droguett']
Desarrollo de Software,Desarrollo de Software,IIC3143,['Gonzalo Martínez']
Interfaces Humano Computador,Interfaces Humano Computador,IIC3182,['Valeria Herskovic']
Complejidad Computacional,Complejidad Computacional,IIC3242,['Pablo Barceló']
Criptografía y Seguridad Computacional,Criptografía y Seguridad Computacional,IIC3253,['Marcelo Arenas;Martín Ugarte']
Algoritmos y Aleatoriedad,Algoritmos y Aleatoriedad,IIC3284,['Cristian Riveros']
Diseño Avanzado de Aplicaciones Web,Diseño Avanzado de Aplicaciones Web,IIC3585,['Jaime Navon']
Aprendizaje Profundo,Aprendizaje Profundo,IIC3697,['Alvaro Soto']
Gestión de Operaciones Ti,Gestión de Operaciones Ti,IIC3703,['Juan Montjoy']
Reconocimiento de Patrones,Reconocimiento de Patrones,IIC3724,['Domingo Mery']
Estrategias y Tecnologías de Información,Estrategias y Tecnologías de Información,IIC3743,['Manuel Cepeda']
Testing,Testing,IIC3745,['Alison Fernandez']
Minería de Procesos,Minería de Procesos,IIC3757,['Marcos Sepúlveda']
Tópicos en Ciencia de la Computación,Tópicos en Ciencia de la Computación,IIC3800,['Marcelo Mendoza']
Investigacion o Proyecto,Investigacion o Proyecto,IIQ0020,['Dirección Docente']
Introducción a la Ingeniería Química,Introducción a la Ingeniería Química,IIQ1001,['Cesar Saez']
Termodinámica,Termodinámica,IIQ1003,['Diego De la Vega']
Fenómenos de Transporte,Fenómenos de Transporte,IIQ2003,['Jose Perez']
Operaciones Unitarias I,Operaciones Unitarias I,IIQ2013,['Roberto Canales;Diego De la Vega']
Operaciones Unitarias II,Operaciones Unitarias II,IIQ2023,['Felipe Huerta;Diego De la Vega']
Fisicoquímica,Fisicoquímica,IIQ2043,['Roberto Canales']
Procesos Químicos,Procesos Químicos,IIQ2133,['Maria Moreno']
Operaciones Unitarias I,Operaciones Unitarias I,IIQ213Q,['Maria Letelier']
Matemática Aplicada a la Ingeniería de Procesos,Matemática Aplicada a la Ingeniería de Procesos,IIQ2303,['Hector Jorquera']
Residuos Sólidos y Peligrosos,Residuos Sólidos y Peligrosos,IIQ2363,['Cesar Saez']
Microbiología e Higiene de Alimentos,Microbiología e Higiene de Alimentos,IIQ2623,['Wendy Franco']
Fundamentos de Biotecnología,Fundamentos de Biotecnología,IIQ2663,['Daniel Garrido']
Bioseparaciones,Bioseparaciones,IIQ2673,['Camila Orellana']
Ingeniería de Alimentos,Ingeniería de Alimentos,IIQ2723,['Mariel Farfan']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IIQ2972,['Dirección Docente']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IIQ2981,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIQ2985,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIQ2986,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IIQ2987,['Dirección Docente']
Contaminación Atmosférica,Contaminación Atmosférica,IIQ3343,['Hector Jorquera']
"Diseño Estadístico, Optimización y Análisis Multivariado","Diseño Estadístico, Optimización y Análisis Multivariado",IIQ3402,['Fabian Reyes']
Biopolímeros,Biopolímeros,IIQ3602,['Loreto Valenzuela']
Inocuidad y Seguridad Alimentaria,Inocuidad y Seguridad Alimentaria,IIQ3643,['Jessica Alarcón']
Sistemas Microbiológicos,Sistemas Microbiológicos,IIQ3663,['Daniel Garrido']
Biotecnología Microbiana,Biotecnología Microbiana,IIQ3683,['Pedro Saa']
Análisis de Biosistemas,Análisis de Biosistemas,IIQ3733,['Jose Perez']
Latín-Filosofía I,Latín-Filosofía I,ILS1321,['Boris Eremiev']
Latín-Filosofía II,Latín-Filosofía II,ILS1322,['Boris Eremiev']
Griego Filosofia I,Griego Filosofia I,ILS1325,['Ana Vicuna']
Griego-Filosofia II,Griego-Filosofia II,ILS1326,['Ana Vicuna']
Emprendimientos Tecnológicos,Emprendimientos Tecnológicos,IMI3100,['Maria Romo']
Planes de Negocios y Financiamientos para Emprendimiento,Planes de Negocios y Financiamientos para Emprendimiento,IMI3400,['Julian Herman']
"Sistemas, Entorno y Redes para la Innovación","Sistemas, Entorno y Redes para la Innovación",IMI3500,['Julio Pertuze']
Seminario Internacional Silicon Valley,Seminario Internacional Silicon Valley,IMI3510,['Julio Pertuze']
Marketing y Comercialización de Emprendimientos e Innovaciones Tecnológicas,Marketing y Comercialización de Emprendimientos e Innovaciones Tecnológicas,IMI3600,['Matias Wolff']
Storytelling para la Innovación,Storytelling para la Innovación,IMI3750,['Miguel Labarca']
Actividad de Graduación,Actividad de Graduación,IMI4000,['Julio Pertuze']
Investigacion o Proyecto,Investigacion o Proyecto,IMM0020,['Dirección Docente']
Introducción a la Minería,Introducción a la Minería,IMM1003,['Jose Jara']
Geología Minera,Geología Minera,IMM2003,['Tomás Roquer']
Minería a Cielo Abierto,Minería a Cielo Abierto,IMM2013,['Patricio Lillo']
Geoestadística,Geoestadística,IMM2033,['Rolando Carrasco']
Minería Subterránea,Minería Subterránea,IMM2043,['Eduardo Cordova']
Procesos Metalúrgicos,Procesos Metalúrgicos,IMM2053,['Juan Salas']
Minería Sustentable,Minería Sustentable,IMM2073,['Alvaro Videla;Gustavo Lagos']
Mecánica de Rocas para Minería,Mecánica de Rocas para Minería,IMM2083,['John Browning']
Fundamentos de la Economía de Minerales,Fundamentos de la Economía de Minerales,IMM2213,['Jose Jara']
Perforación y Tronadura,Perforación y Tronadura,IMM2503,['Luis Manriquez']
Tecnologías Mineras,Tecnologías Mineras,IMM2521,['Alvaro Videla']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IMM2972,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IMM2985,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IMM2986,['Dirección Docente']
Investigacion o Proyecto,Investigacion o Proyecto,IMM2987,['Dirección Docente']
Seminario de Mineria,Seminario de Mineria,IMM3005,['Gustavo Lagos']
Procesos Electroquímicos en la Industria Minera,Procesos Electroquímicos en la Industria Minera,IMM3212,['Juan Salas']
Planificación Minera,Planificación Minera,IMM3313,['Juan Silva']
Gestión de Equipos y Automatización Minera,Gestión de Equipos y Automatización Minera,IMM3323,['Luis Guzman']
Proyecto Minero,Proyecto Minero,IMM3403,['Jose Jara']
Tecnologías Mineras,Tecnologías Mineras,IMM3521,['Alvaro Videla']
Topicos en Mineria,Topicos en Mineria,IMM3800,['Patricio Lillo;Francisco Belmar']
Investigación o Proyecto,Investigación o Proyecto,IMT0020,['Dirección Docente']
Introducción a la Ingeniería Matemática,Introducción a la Ingeniería Matemática,IMT1001,['Domagoj Vrgoc']
"Ciencia de Datos: Qué, Cómo y por Qué","Ciencia de Datos: Qué, Cómo y por Qué",IMT2000,['Lucas Suárez']
Álgebra Lineal Numérica,Álgebra Lineal Numérica,IMT2111,['Manuel Sanchez']
Probabilidades y Algoritmos,Probabilidades y Algoritmos,IMT2117,['Cristian Riveros']
Ciencia de Datos Geoespaciales,Ciencia de Datos Geoespaciales,IMT2118,['Paula Aguirre']
Álgebra Lineal para Ciencia de Datos,Álgebra Lineal para Ciencia de Datos,IMT2210,['Dieter Mitsche']
Cálculo para Ciencia de Datos,Cálculo para Ciencia de Datos,IMT2220,['Eduardo Cerpa']
Álgebra Lineal Avanzada y Modelamiento,Álgebra Lineal Avanzada y Modelamiento,IMT2230,['Dieter Mitsche']
Ciencia de Datos Responsable,Ciencia de Datos Responsable,IMT2240,['Gabriela Arriagada']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IMT2972,['Dirección Docente']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,IMT2981,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,IMT2985,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,IMT2986,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,IMT2987,['Dirección Docente']
Aplicaciones de Ecuaciones Diferenciales Parciales y Análisis Funcional en Ingeniería,Aplicaciones de Ecuaciones Diferenciales Parciales y Análisis Funcional en Ingeniería,IMT3130,['Federico Fuentes']
Optimización Avanzada,Optimización Avanzada,IMT3150,['Cristobal Guzman']
"Fundamentos de Algoritmos, Combinatoria y Optimización","Fundamentos de Algoritmos, Combinatoria y Optimización",IMT3400,['Jose Verschae']
Modelos Aleatorios en Alta Dimensión,Modelos Aleatorios en Alta Dimensión,IMT3420,['Anastasios Matzavinos']
Proyecto de Tesis de Magíster,Proyecto de Tesis de Magíster,IMT3431,['Carlos Sing Long']
Taller de Ingeniería Matemática,Taller de Ingeniería Matemática,IMT3500,['Alejandro Cataldo']
Tópicos Avanzados en Ingeniería Matemática y Computacional,Tópicos Avanzados en Ingeniería Matemática y Computacional,IMT3800,['Anastasios Matzavinos']
"Tópicos Avanzados de Algoritmos, Combinatoria y Optimización","Tópicos Avanzados de Algoritmos, Combinatoria y Optimización",IMT3830,['Cristobal Guzman']
Tópicos en Problemas Inversos,Tópicos en Problemas Inversos,IMT3840,['Carlos Sing Long']
Fundamentos Matemáticos para Inteligencia Artificial,Fundamentos Matemáticos para Inteligencia Artificial,IMT3850,['Manuel Sanchez']
Introducción a Data Science,Introducción a Data Science,IMT3860,['Alejandro Cataldo']
Modelos Cuantitativos para las Decisiones,Modelos Cuantitativos para las Decisiones,IND3100,['Juan Ferrer']
Fundamentos de Economia,Fundamentos de Economia,IND3110,['Enzo Sauma']
Organizacion y Comportamiento,Organizacion y Comportamiento,IND3120,['Julio Pertuze']
Organizacion y Comportamiento en la Empresa,Organizacion y Comportamiento en la Empresa,IND3121,['Dario Rodriguez']
Fundamentos de Optimizacion,Fundamentos de Optimizacion,IND3200,['Jorge Vera;Rodrigo Carrasco']
Contabilidad y Analisis Financiero,Contabilidad y Analisis Financiero,IND3210,['Mauricio Gonzalez']
Modelos de Decision Bajo Incertidumbre,Modelos de Decision Bajo Incertidumbre,IND3300,['Alvaro Lorca;Margarita Castro']
Fundamentos de Finanzas,Fundamentos de Finanzas,IND3310,['Rodrigo Gonzalez']
Estrategia Competitiva,Estrategia Competitiva,IND3420,['Michael Leatherbee']
Evaluación de Proyectos de Inversión,Evaluación de Proyectos de Inversión,IND3450,['Tomas Reyes']
Innovacion y Gestion de la Tecnologia,Innovacion y Gestion de la Tecnologia,IND3720,['Alfonso Cruz']
Estrategias de Innovación Corporativa,Estrategias de Innovación Corporativa,IND3725,['Arturo Jimenez']
Modelos de Simulacion,Modelos de Simulacion,IND3730,['Mathias Klapp']
Gestion Financiera Avanzada,Gestion Financiera Avanzada,IND3740,['Gonzalo Cortazar']
Organizacion Industrial,Organizacion Industrial,IND3760,['Enzo Sauma']
Liderazgo y Trabajo en Equipo,Liderazgo y Trabajo en Equipo,IND3830,['Maria Siade']
"Humanidad, Gestión y Posmodernidad","Humanidad, Gestión y Posmodernidad",IND3860,['Sergio Canals']
Métodos Analíticos en Negocios,Métodos Analíticos en Negocios,IND3910,['Jaime Caiceo']
Actividad de Graduacion,Actividad de Graduacion,IND4970,['Sergio Maturana']
Introducción a la Programación en Python: Estructurando Datos para Problemas Reales,Introducción a la Programación en Python: Estructurando Datos para Problemas Reales,INF3103,['(Sin Profesores)']
Ingeniería de Software,Ingeniería de Software,INF3143,['(Sin Profesores)']
Bases de Datos,Bases de Datos,INF3211,['Jaime Navon']
Evaluacion de Proyectos Informaticos,Evaluacion de Proyectos Informaticos,INF3230,['Ricardo Aguero']
Tecnologías Web,Tecnologías Web,INF3242,['Jaime Navon']
Taller de Procesos de Negocios,Taller de Procesos de Negocios,INF3261,['Juan Zamur']
Gestión de Procesos de Negocio,Gestión de Procesos de Negocio,INF3262,['Marcos Sepúlveda']
Finanzas,Finanzas,INF3290,['Andres Araya']
Contabilidad y Análisis Financiero,Contabilidad y Análisis Financiero,INF3306,['Jorge Barros']
Gestion de Operaciones,Gestion de Operaciones,INF3410,['Jorge Vera']
Minería de Datos,Minería de Datos,INF3511,['Rodrigo Sandoval']
Transformación Digital,Transformación Digital,INF3541,['Manuel Cepeda']
Implementación de Mejores Prácticas en Gestión de Servicios de Tic Con Itil®4,Implementación de Mejores Prácticas en Gestión de Servicios de Tic Con Itil®4,INF3543,['Francisco Valenzuela']
Fundamentos de Blockchain,Fundamentos de Blockchain,INF3561,['Andres Araya']
Aspectos Legales de Ciberseguridad y Protección de Datos,Aspectos Legales de Ciberseguridad y Protección de Datos,INF3571,['Andres Pumarino']
Big Data,Big Data,INF3590,['Rodrigo Sandoval']
Cloud Computing,Cloud Computing,INF3591,['Cristian Ruz']
Inteligencia de Negocios Aplicada a Gestión Estratégica,Inteligencia de Negocios Aplicada a Gestión Estratégica,INF3592,['Cristian Rodriguez']
Procesamiento de Imágenes,Procesamiento de Imágenes,INF3714,['(Sin Profesores)']
Minería de Medios Sociales y Ciencia de Redes,Minería de Medios Sociales y Ciencia de Redes,INF3801,['Jorge Salas']
Aplicaciones,Aplicaciones,INF3821,['Manuel Cartagena']
Proyecto Aplicado II,Proyecto Aplicado II,INF3823,['Luis Ramírez']
Bases de Datos,Bases de Datos,INF3831,['Domagoj Vrgoc']
Recuperación de Información,Recuperación de Información,INF3841,['Juan Barrios']
Visualización de Información y Analítica Visual,Visualización de Información y Analítica Visual,INF3842,['Hernán Valdivieso']
Plataformas de Big Data para Data Science,Plataformas de Big Data para Data Science,INF3862,['Hans Lobel']
Actividad de Graduacion,Actividad de Graduacion,INF4970,['Rodrigo Sandoval']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,ING0600,['Dirección Docente']
Trabajo Personal Dirigido,Trabajo Personal Dirigido,ING0601,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,ING0700,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,ING0701,['Dirección Docente']
Investigación o Proyecto,Investigación o Proyecto,ING0800,['Dirección Docente']
Pasantía de Investigación Nacional,Pasantía de Investigación Nacional,ING0901,['Dirección Docente']
Pasantía de Investigación en el Extranjero,Pasantía de Investigación en el Extranjero,ING0902,['Dirección Docente']
Pasantía de Investigación en Empresa,Pasantía de Investigación en Empresa,ING0903,['Dirección Docente']
Iniciativas de Investigación Estudiantiles,Iniciativas de Investigación Estudiantiles,ING0904,['Dirección Docente']
Cmd Iniciativas de Investigación en Pregrado,Cmd Iniciativas de Investigación en Pregrado,ING0905,['Dirección Docente']
Cmd Investigación o Proyecto Interdisciplinario,Cmd Investigación o Proyecto Interdisciplinario,ING0906,['Dirección Docente']
Iniciativas de Investigación Estudiantiles,Iniciativas de Investigación Estudiantiles,ING0914,['Dirección Docente']
Cmd Iniciativas de Investigación en Pregrado,Cmd Iniciativas de Investigación en Pregrado,ING0915,['Dirección Docente']
Cmd Investigación o Proyecto Interdisciplinario,Cmd Investigación o Proyecto Interdisciplinario,ING0916,['Dirección Docente']
Práctica I,Práctica I,ING1001,['Martin Vilches']
Desafíos de la Ingeniería,Desafíos de la Ingeniería,ING1004,['Catalina Cortázar']
Uc-Lab: Soluciones Creativas para Desafíos de la Humanidad,Uc-Lab: Soluciones Creativas para Desafíos de la Humanidad,ING101G,['Benjamín Abarca']
Propiedades y Resistencia de Materiales,Propiedades y Resistencia de Materiales,ING1024,['Elodie Blanco;Claudio Fernandez']
Maravillas Tecnológicas de la Vida Cotidiana,Maravillas Tecnológicas de la Vida Cotidiana,ING102G,['Alejandro Briso;Magdalena Gil;Maria Moreno;Matias Castro']
Práctica II,Práctica II,ING2001,['Martin Vilches']
Taller de Empleabilidad,Taller de Empleabilidad,ING2005,['Martin Vilches']
"Investigación, Innovación y Emprendimiento","Investigación, Innovación y Emprendimiento",ING2030,['Alfonso Cruz']
Convenio Universidad de Chile,Convenio Universidad de Chile,ING3100,['Por Fijar']
Convenio Universidad de Chile,Convenio Universidad de Chile,ING3110,['Dirección Docente']
Convenio Universidad Técnica Federico Santa María,Convenio Universidad Técnica Federico Santa María,ING3200,['Por Fijar']
Convenio Universidad de Santiago de Chile,Convenio Universidad de Santiago de Chile,ING3300,['Por Fijar']
Seminario de Postgrado: Propuesta de Tesis,Seminario de Postgrado: Propuesta de Tesis,ING3810,['Juan Tiznado']
Seminario de Postgrado I,Seminario de Postgrado I,ING3820,['Juan Reutter']
Seminario de Postgrado II,Seminario de Postgrado II,ING3821,['Juan Reutter']
Tesis de Postgrado,Tesis de Postgrado,ING4921,['Por Fijar']
Tesis de Postgrado,Tesis de Postgrado,ING4922,['Por Fijar']
Tesis de Postgrado,Tesis de Postgrado,ING4923,['Por Fijar']
Tesis de Postgrado,Tesis de Postgrado,ING4926,['Por Fijar']
Tesis de Postgrado,Tesis de Postgrado,ING4927,['Por Fijar']
Tesis de Postgrado,Tesis de Postgrado,ING4928,['Por Fijar']
Proyecto de Tesis I,Proyecto de Tesis I,ING4941,['Por Fijar']
Proyecto de Tesis II,Proyecto de Tesis II,ING4942,['Por Fijar']
Proyecto de Tesis III,Proyecto de Tesis III,ING4943,['Por Fijar']
Proyecto de Tesis IV,Proyecto de Tesis IV,ING4944,['Por Fijar']
Tesis de Doctorado I,Tesis de Doctorado I,ING4961,['Por Fijar']
Tesis de Doctorado II,Tesis de Doctorado II,ING4962,['Por Fijar']
Tesis de Doctorado III,Tesis de Doctorado III,ING4963,['Por Fijar']
Actividad de Graduacion,Actividad de Graduacion,ING4970,['Por Fijar']
Manuscrito Proyecto de Tesis,Manuscrito Proyecto de Tesis,ING5050,['Por Fijar']
Examen de Candidatura,Examen de Candidatura,ING5100,['Por Fijar']
Examen de Candidatura,Examen de Candidatura,ING5110,['Por Fijar']
Actividad Anual de Seguimiento I,Actividad Anual de Seguimiento I,ING5200,['Por Fijar']
Actividad Anual de Seguimiento II,Actividad Anual de Seguimiento II,ING5210,['Por Fijar']
Pasantía Internacional,Pasantía Internacional,ING5240,['Por Fijar']
Autoría Artículo Científico o Patente,Autoría Artículo Científico o Patente,ING5250,['Por Fijar']
Documento Tesis Doctoral,Documento Tesis Doctoral,ING5300,['Por Fijar']
Defensa de Tesis Doctoral,Defensa de Tesis Doctoral,ING5400,['Por Fijar']
Seminario de Graduación I,Seminario de Graduación I,INP3610,['Marcos Sepúlveda']
Seminario de Graduación II,Seminario de Graduación II,INP3611,['Marcos Sepúlveda']
Introducción Exploratoria a la Robótica,Introducción Exploratoria a la Robótica,IRB1010,['Miguel Torres;Jorge Díaz;David Acuña;Daniel Calabi']
Introducción a la Kinesiología,Introducción a la Kinesiología,KIN101A,['Maria Calvo;Patricio Garcia;Catalina Sepulveda;Francisca Rammsy;Claudia Roman;Cristobal San Martin;Tiziana Fernández;Stefania Nicolaides']
Fundamentos Fisiológicos de la Actividad Física,Fundamentos Fisiológicos de la Actividad Física,KIN104,['Maximiliano Espinosa;Santiago Riquelme;Rodrigo Fuentes']
Ejercicio para Una Vida Saludable y Plena,Ejercicio para Una Vida Saludable y Plena,KIN105,['Claudia Roman']
